normInfX : 1.352259102332583
normInfY : 1.8175380415655664

 0.9084825751359866 0.3566792795969468 0.08709724759964965
 0.5389094958106317 0.31032813820210303 0.40033120725558347
Nmax : 143maj : 0.49833281914883276diff : 0.12206276536534844submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 144maj : 0.4982321139327441diff : 0.12196206014925975submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 145maj : 0.49791920851660887diff : 0.12164915473312454submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 146maj : 0.4975910088157923diff : 0.121320955032308submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 147maj : 0.49582599858553417diff : 0.11955594480204984submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 148maj : 0.4956618987351259diff : 0.11939184495164157submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 149maj : 0.49341988323832425diff : 0.11714982945483993submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 150maj : 0.493255783387916diff : 0.11698572960443165submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 151maj : 0.49310697782218904diff : 0.11683692403870471submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 152maj : 0.4929730848057039diff : 0.11670303102221957submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 153maj : 0.4927787781213725diff : 0.11650872433788817submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 154maj : 0.492450578420556diff : 0.11618052463707168submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 155maj : 0.4915685063027706diff : 0.11529845251928628submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 156maj : 0.4910137678911144diff : 0.11474371410763007submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 157maj : 0.49084966804070607diff : 0.11457961425722174submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 158maj : 0.4886076525439044diff : 0.1123375987604201submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 159maj : 0.48844355269349615diff : 0.11217349891001183submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 160maj : 0.4882947471277692diff : 0.11202469334428489submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 161maj : 0.48827945284308794diff : 0.11200939905960361submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 162maj : 0.48796654742695267diff : 0.11169649364346834submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
